Frame,X,Y,Z,QX,QY,QZ,QW,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
434,-2.598077,0.0515,0.723284,-0.074062,0.047326,0.133239,0.987179,-0.731436,0.165017,0.403153,0.93847,-0.267807,0.247337,-0.438055,0.137246,-0.670599,1.159591,-0.222145,0.240501,-0.10403,-0.309784,0.243871,0.222301,0.006268,0.45192,0.224288,0.368314,0.37615,0.378876,0.725841,-0.463776,-0.44808,0.300665,-0.764117,0.151404,0.120613
435,-2.611745,0.079083,0.723398,-0.05589,0.044193,0.112765,0.991064,-0.6951,0.130295,0.492907,0.897877,-0.207009,0.246561,-0.387305,0.20757,-0.619307,1.016524,-0.212223,0.200203,-0.071195,-0.292275,0.231523,0.219706,0.01967,0.6199,0.390805,0.204301,0.452554,0.349488,0.678513,-0.547313,-0.433201,0.209852,-0.741588,0.142245,0.075073
436,-2.625322,0.107121,0.720418,-0.035026,0.039774,0.100207,0.993554,-0.705017,0.089042,0.566205,0.931066,-0.124155,0.22236,-0.29629,0.203382,-0.608416,0.877591,-0.337733,-0.073448,-0.046319,-0.272973,0.227007,0.222451,0.070218,0.730898,0.623327,0.169231,0.484231,0.368917,0.633226,-0.643795,-0.426277,0.11676,-0.675297,0.138125,0.031412
437,-2.638455,0.133036,0.716876,-0.019112,0.028321,0.090547,0.995306,-0.760024,0.061383,0.554175,1.039914,-0.044923,0.008638,-0.23024,0.18232,-0.575406,0.801521,-0.503819,-0.239334,-0.031946,-0.255019,0.234622,0.246552,0.131268,0.756674,0.840387,0.22656,0.485592,0.393494,0.559728,-0.727641,-0.392036,0.048091,-0.593809,0.133336,-0.009042
438,-2.651855,0.157329,0.708362,-0.01263,0.009725,0.076755,0.996923,-0.823968,0.045001,0.494708,1.16161,0.012901,-0.234719,-0.200984,0.158913,-0.526813,0.800659,-0.636553,-0.247364,-0.030088,-0.233141,0.251682,0.297443,0.177536,0.709461,0.893266,0.313785,0.48551,0.355524,0.428593,-0.788985,-0.318663,0.012208,-0.538568,0.122744,-0.022914
439,-2.664726,0.179234,0.705697,-0.00963,-0.005954,0.066213,0.997741,-0.863815,0.050977,0.429133,1.249014,-0.023623,-0.247091,-0.20541,0.123804,-0.497741,0.856695,-0.686596,-0.247592,-0.033898,-0.205301,0.269849,0.363308,0.203982,0.60817,0.830507,0.410532,0.481619,0.305046,0.290644,-0.785023,-0.246388,-0.009349,-0.531204,0.117162,-0.016135
440,-2.676997,0.199082,0.708027,-0.006045,-0.014707,0.067376,0.997601,-0.860008,0.12153,0.377489,1.298401,-0.078026,-0.245114,-0.220616,0.077503,-0.487947,0.901425,-0.683368,-0.245465,-0.03067,-0.176643,0.281442,0.41941,0.234963,0.497063,0.763012,0.514257,0.414388,0.287031,0.209042,-0.734995,-0.193513,-0.019551,-0.55838,0.115303,-0.036442
441,-2.687936,0.216727,0.715562,-0.006185,-0.018563,0.080477,0.996564,-0.825929,0.227029,0.346243,1.29832,-0.101511,-0.200925,-0.215493,0.037773,-0.499887,0.886513,-0.658253,-0.227778,-0.017155,-0.15013,0.284213,0.442405,0.284528,0.402806,0.725101,0.626507,0.347867,0.271677,0.211848,-0.654347,-0.149056,-0.025106,-0.612808,0.103983,-0.076945
442,-2.697609,0.232661,0.726941,-0.006549,-0.019981,0.096819,0.99508,-0.773326,0.307219,0.314938,1.235639,-0.119163,-0.120735,-0.19575,0.010051,-0.512473,0.829503,-0.613939,-0.202668,0.002216,-0.128084,0.280303,0.433101,0.328587,0.339426,0.698139,0.709328,0.331836,0.207877,0.272503,-0.55777,-0.105021,-0.016262,-0.703447,0.072984,-0.095087
443,-2.706219,0.247782,0.740439,-0.004244,-0.019997,0.113845,0.993288,-0.710259,0.329428,0.264266,1.126367,-0.147509,-0.052505,-0.164789,-0.015087,-0.525267,0.74752,-0.555705,-0.177863,0.021662,-0.111343,0.272453,0.399479,0.359082,0.28825,0.671007,0.762461,0.343157,0.098812,0.343452,-0.455599,-0.066089,0.025144,-0.798412,0.041802,-0.059542
444,-2.714074,0.26301,0.754001,0.00088,-0.021067,0.132855,0.990911,-0.630836,0.300258,0.187519,0.999127,-0.179199,-0.015961,-0.122597,-0.046459,-0.545214,0.657994,-0.492164,-0.149604,0.036519,-0.09953,0.259412,0.358068,0.382095,0.231796,0.646036,0.813808,0.347035,-0.009846,0.40423,-0.361246,-0.032381,0.107565,-0.878854,0.026023,0.03042
445,-2.721871,0.278491,0.765117,0.008052,-0.021954,0.15068,0.988306,-0.540568,0.246963,0.092599,0.884606,-0.18596,-0.020617,-0.08864,-0.087319,-0.565521,0.592723,-0.43702,-0.117638,0.045685,-0.091717,0.242729,0.318955,0.404922,0.16352,0.622012,0.869855,0.332379,-0.08581,0.443283,-0.274414,-0.010701,0.213789,-0.916091,0.037179,0.154368
446,-2.730224,0.29415,0.771714,0.014675,-0.020777,0.161039,0.98662,-0.447696,0.186669,-0.021871,0.803589,-0.179355,-0.051668,-0.090276,-0.138044,-0.565764,0.591185,-0.402778,-0.085872,0.049824,-0.085668,0.223221,0.290605,0.431782,0.094381,0.598899,0.934157,0.295021,-0.124062,0.460447,-0.215028,0.005257,0.324823,-0.918584,0.059943,0.292502
447,-2.739244,0.309564,0.773623,0.01971,-0.018097,0.163559,0.986171,-0.35627,0.134859,-0.133475,0.766479,-0.171281,-0.101809,-0.135346,-0.196621,-0.537843,0.663133,-0.379012,-0.058657,0.049331,-0.078303,0.202693,0.270613,0.443613,0.036194,0.56387,0.991313,0.253119,-0.133322,0.457548,-0.186656,0.021967,0.431704,-0.913914,0.086695,0.416817
448,-2.748221,0.324565,0.772944,0.021694,-0.015373,0.160716,0.986642,-0.266182,0.111815,-0.194893,0.750842,-0.166725,-0.209462,-0.213502,-0.259312,-0.493893,0.793944,-0.355124,-0.033544,0.044017,-0.067967,0.185462,0.270681,0.45103,0.003347,0.507501,1.032149,0.209801,-0.127128,0.440174,-0.183728,0.037143,0.529901,-0.917429,0.108003,0.513102
449,-2.756877,0.338736,0.763869,0.026637,-0.012797,0.155118,0.987454,-0.18757,0.090554,-0.212258,0.681326,-0.309706,-0.228631,-0.305986,-0.323795,-0.434287,0.937068,-0.322639,-0.009277,0.035906,-0.058253,0.175214,0.29099,0.445018,-0.00294,0.429493,1.05656,0.175608,-0.109549,0.413789,-0.194455,0.029422,0.612947,-0.917242,0.130041,0.563761
450,-2.765288,0.351106,0.751646,0.038416,-0.011684,0.150559,0.987785,-0.172043,0.067018,-0.161558,0.661537,-0.410572,-0.210678,-0.40992,-0.392541,-0.35579,1.085811,-0.273081,0.033181,0.024009,-0.054202,0.176893,0.30475,0.403395,-0.000197,0.351463,1.062942,0.147991,-0.071351,0.393948,-0.212246,0.003689,0.660883,-0.925655,0.16068,0.542628
451,-2.774081,0.362215,0.742752,0.046085,-0.012872,0.153507,0.986988,-0.214974,0.025479,-0.151214,0.741543,-0.440456,-0.195048,-0.511854,-0.433861,-0.2586,1.208954,-0.206912,0.078822,0.013564,-0.056169,0.18874,0.306525,0.36383,0.010481,0.294779,1.053062,0.129344,-0.025867,0.386605,-0.208512,-0.053886,0.679095,-0.93588,0.188542,0.424814
452,-2.780855,0.371061,0.738346,0.043479,-0.015322,0.156151,0.986657,-0.242539,0.012787,-0.146071,0.795729,-0.462444,-0.182767,-0.569393,-0.410727,-0.165613,1.252878,-0.153688,0.116092,0.007761,-0.056171,0.198303,0.303985,0.328082,0.041884,0.277241,1.027011,0.124074,0.025681,0.398602,-0.162059,-0.121109,0.679757,-0.954328,0.213536,0.208945
453,-2.785575,0.377358,0.73962,0.04286,-0.017646,0.140849,0.988945,-0.231279,0.015559,-0.12053,0.789904,-0.462865,-0.171034,-0.596794,-0.345807,-0.065445,1.240439,-0.12479,0.112269,0.006821,-0.0536,0.201981,0.319613,0.274743,0.091071,0.296036,0.986754,0.134718,0.058532,0.406732,-0.111336,-0.179932,0.674244,-0.950458,0.228952,0.017453
454,-2.788557,0.381613,0.746866,0.041362,-0.01949,0.118511,0.991899,-0.197575,0.029525,-0.083978,0.738308,-0.439251,-0.16138,-0.596027,-0.299004,-0.000187,1.184545,-0.137573,0.110095,0.008706,-0.052334,0.199601,0.339039,0.222793,0.143081,0.342317,0.958896,0.177527,0.058089,0.409791,-0.073254,-0.208938,0.660132,-0.926817,0.222365,-0.06568
455,-2.790141,0.3842,0.755039,0.038309,-0.018988,0.100061,0.994062,-0.158598,0.047278,-0.050901,0.662524,-0.400575,-0.156746,-0.573193,-0.29713,0.008604,1.097525,-0.157065,0.09428,0.010167,-0.050871,0.19021,0.349307,0.177384,0.184399,0.399841,0.94356,0.250043,0.039256,0.414022,-0.047205,-0.222363,0.635881,-0.891088,0.210895,-0.041074
456,-2.790463,0.385623,0.763136,0.034564,-0.015855,0.088515,0.995349,-0.122088,0.0615,-0.028437,0.578284,-0.356119,-0.154914,-0.538297,-0.301263,0.008356,0.999046,-0.16549,0.07218,0.008293,-0.048204,0.175822,0.351815,0.14076,0.211199,0.463737,0.942167,0.318744,0.011334,0.426171,-0.041805,-0.222071,0.601212,-0.857398,0.175885,0.070697
457,-2.789702,0.386102,0.769728,0.032677,-0.01164,0.080468,0.996153,-0.088579,0.069332,-0.011806,0.498186,-0.314971,-0.154544,-0.500424,-0.302418,0.021555,0.908834,-0.175367,0.055983,0.003436,-0.04416,0.158759,0.350865,0.104697,0.225317,0.536999,0.944421,0.378559,-0.008959,0.440464,-0.057265,-0.222493,0.562712,-0.833972,0.128776,0.215909
458,-2.788179,0.385764,0.774265,0.032675,-0.008109,0.073807,0.996704,-0.057207,0.072947,0.003355,0.428465,-0.281495,-0.155408,-0.461812,-0.312223,0.025489,0.838272,-0.190336,0.036575,-0.001775,-0.040837,0.142466,0.353225,0.081236,0.227223,0.599512,0.94651,0.411467,-0.039857,0.439414,-0.078737,-0.241175,0.535511,-0.813907,0.094693,0.361356
459,-2.786083,0.384407,0.77656,0.034452,-0.005584,0.066963,0.997145,-0.03083,0.074802,0.019472,0.377176,-0.260306,-0.158929,-0.423813,-0.339124,-0.005681,0.791402,-0.201455,0.016747,-0.005332,-0.039581,0.128931,0.359724,0.065369,0.211177,0.656548,0.951732,0.416467,-0.075309,0.427317,-0.098367,-0.28515,0.518893,-0.77858,0.089436,0.47732
460,-2.783515,0.381863,0.776699,0.039244,-0.005295,0.059128,0.997465,-0.008552,0.073642,0.0375,0.34871,-0.254198,-0.165163,-0.383375,-0.371848,-0.058188,0.762484,-0.209,0.017284,-0.006895,-0.040302,0.119264,0.366492,0.055544,0.170483,0.711835,0.979634,0.404417,-0.114806,0.398716,-0.115147,-0.33301,0.510526,-0.766181,0.117865,0.521545
461,-2.780695,0.378098,0.775376,0.044024,-0.006698,0.049218,0.997795,0.008717,0.076184,0.057458,0.341291,-0.258952,-0.174142,-0.334787,-0.406664,-0.140603,0.729198,-0.220338,0.095916,-0.004733,-0.043725,0.112428,0.379242,0.060789,0.117622,0.750084,1.030875,0.372172,-0.158821,0.365242,-0.125437,-0.372954,0.511188,-0.78888,0.150202,0.47861
462,-2.777995,0.37353,0.772662,0.046207,-0.008399,0.036709,0.998222,0.026518,0.085395,0.079814,0.335017,-0.258815,-0.183369,-0.270815,-0.433238,-0.255026,0.657348,-0.251832,0.136306,0.001278,-0.04584,0.107448,0.38928,0.064754,0.073091,0.760902,1.095422,0.336078,-0.188705,0.322526,-0.121387,-0.393966,0.530314,-0.832889,0.186264,0.336476
463,-2.775609,0.368359,0.77321,0.043662,-0.010748,0.027621,0.998607,0.036179,0.103458,0.093341,0.341779,-0.257513,-0.197555,-0.239678,-0.414058,-0.273641,0.610823,-0.263141,0.142317,0.004869,-0.040738,0.106517,0.404886,0.066818,0.051526,0.741067,1.153689,0.308184,-0.195085,0.279109,-0.102221,-0.396397,0.571585,-0.895836,0.227175,0.114903
464,-2.774217,0.362043,0.774219,0.039618,-0.012943,0.017553,0.998977,0.018208,0.12923,0.100329,0.3995,-0.248899,-0.214024,-0.236152,-0.386341,-0.266153,0.603834,-0.258537,0.138271,0.012652,-0.028029,0.110377,0.419238,0.050167,0.06916,0.706287,1.188123,0.297508,-0.179209,0.241346,-0.080473,-0.389021,0.618362,-0.951022,0.268027,-0.078474
465,-2.773018,0.35546,0.778816,0.032027,-0.012365,0.01078,0.999352,-0.033718,0.162517,0.090517,0.501923,-0.204527,-0.220987,-0.223624,-0.350318,-0.270354,0.576673,-0.252419,0.130394,0.023513,-0.010988,0.114806,0.43174,0.019312,0.119923,0.660144,1.186563,0.29062,-0.144023,0.218188,-0.047873,-0.398823,0.643517,-0.9425,0.29391,-0.1674
466,-2.77225,0.349342,0.78164,0.022683,-0.009368,0.010428,0.999644,-0.122051,0.195162,0.069026,0.639917,-0.128171,-0.207768,-0.207397,-0.315383,-0.285001,0.540483,-0.245402,0.120366,0.033559,0.007448,0.119596,0.429642,-0.011125,0.170184,0.615853,1.163233,0.279892,-0.12264,0.206894,-0.013409,-0.418899,0.642899,-0.873135,0.288643,-0.16366
467,-2.771198,0.343414,0.782933,0.014594,-0.006008,0.011977,0.999804,-0.224912,0.231709,0.061004,0.792413,-0.040235,-0.180954,-0.191895,-0.285298,-0.302068,0.506226,-0.238701,0.109219,0.041156,0.026227,0.124632,0.420235,-0.029485,0.210527,0.57922,1.121531,0.256736,-0.128615,0.208366,0.008316,-0.426879,0.632699,-0.789872,0.256067,-0.09925
468,-2.769284,0.337354,0.785014,0.009164,-0.002808,0.011514,0.999888,-0.324244,0.281167,0.081645,0.931388,0.043958,-0.121014,-0.177995,-0.259704,-0.314685,0.475377,-0.233859,0.100244,0.04721,0.045115,0.13016,0.414749,-0.035463,0.224213,0.545608,1.092042,0.219937,-0.149954,0.216969,0.003472,-0.405408,0.626796,-0.735898,0.213295,-0.01063
469,-2.766608,0.331608,0.785718,0.004922,-0.00008,0.007976,0.999956,-0.405143,0.333859,0.121849,1.028488,0.09464,-0.065144,-0.169318,-0.236832,-0.319674,0.454429,-0.233507,0.093859,0.053853,0.064669,0.136725,0.4153,-0.028398,0.215306,0.512267,1.087928,0.175972,-0.178069,0.226605,-0.024639,-0.356936,0.62481,-0.726434,0.161284,0.071255
470,-2.763071,0.32624,0.785984,0.000613,0.002583,0.000579,0.999996,-0.465558,0.375011,0.17231,1.070819,0.065753,-0.053421,-0.164908,-0.212408,-0.315726,0.439482,-0.23546,0.088461,0.06037,0.083119,0.144339,0.420176,-0.013713,0.19802,0.476908,1.111017,0.13705,-0.19234,0.225313,-0.062588,-0.299783,0.630337,-0.754981,0.12266,0.125279
471,-2.75865,0.321218,0.786502,-0.002507,0.005942,-0.008745,0.999941,-0.512054,0.390071,0.218317,1.060859,0.041068,-0.058987,-0.161481,-0.188894,-0.306334,0.423522,-0.236758,0.083709,0.065709,0.098094,0.151253,0.426804,0.000571,0.182446,0.444956,1.152267,0.111033,-0.195364,0.212568,-0.09386,-0.25383,0.640393,-0.800214,0.112496,0.152575
472,-2.75324,0.316697,0.787416,-0.004898,0.010305,-0.015419,0.999816,-0.547137,0.379663,0.251143,0.99823,0.044469,-0.09717,-0.153988,-0.16914,-0.300952,0.401882,-0.236631,0.08109,0.068687,0.109125,0.155081,0.430373,0.011959,0.175556,0.420648,1.199098,0.101173,-0.188211,0.20068,-0.1105,-0.230513,0.646908,-0.854139,0.131708,0.145198
473,-2.746843,0.31271,0.788583,-0.00638,0.015419,-0.017642,0.999705,-0.572552,0.345872,0.262777,0.889387,0.061404,-0.12766,-0.141543,-0.154761,-0.302821,0.374298,-0.235116,0.08064,0.070447,0.116212,0.155911,0.432575,0.021802,0.176243,0.399665,1.242496,0.098181,-0.186333,0.196625,-0.106663,-0.224218,0.647611,-0.908128,0.166609,0.10183
474,-2.739327,0.309189,0.789762,-0.006258,0.021352,-0.017839,0.999593,-0.581315,0.293597,0.252685,0.736126,0.07417,-0.149266,-0.125193,-0.144986,-0.307887,0.339642,-0.231747,0.081747,0.071223,0.119698,0.154013,0.431927,0.027795,0.188282,0.384508,1.269743,0.100998,-0.190674,0.201683,-0.087582,-0.234922,0.642319,-0.941768,0.200813,0.045929
475,-2.730542,0.30604,0.790462,-0.005311,0.027366,-0.018243,0.999445,-0.569183,0.238426,0.226764,0.545197,0.095079,-0.160066,-0.108241,-0.137676,-0.311784,0.306464,-0.230051,0.083511,0.071269,0.120239,0.149727,0.429251,0.031882,0.209637,0.376066,1.278548,0.107616,-0.192436,0.21371,-0.060965,-0.258405,0.633474,-0.941708,0.218769,-0.005418
476,-2.72044,0.303081,0.790316,-0.004435,0.032388,-0.018794,0.999289,-0.539529,0.192413,0.194603,0.33934,0.11637,-0.160471,-0.093078,-0.131522,-0.313598,0.284595,-0.23384,0.084608,0.07128,0.118916,0.144828,0.425146,0.034388,0.238166,0.37496,1.26581,0.117534,-0.189701,0.230554,-0.033794,-0.287424,0.626938,-0.904489,0.210716,-0.03564
477,-2.708698,0.30045,0.788945,-0.006785,0.034393,-0.02196,0.999144,-0.518684,0.169812,0.177423,0.196755,0.12845,-0.129851,-0.078118,-0.121219,-0.311237,0.280625,-0.247303,0.084264,0.070978,0.116889,0.141362,0.424664,0.039898,0.268528,0.382629,1.24531,0.129197,-0.183348,0.248361,-0.015117,-0.308091,0.632831,-0.856582,0.197624,-0.02439
478,-2.695521,0.297982,0.786799,-0.01089,0.033729,-0.023454,0.999096,-0.498711,0.164294,0.227791,0.120139,0.142262,-0.147667,-0.055485,-0.108599,-0.312047,0.279759,-0.264701,0.084842,0.065801,0.115333,0.138288,0.424776,0.048631,0.29329,0.401659,1.227712,0.140174,-0.179153,0.265321,-0.006411,-0.321894,0.645884,-0.809399,0.194511,0.022953
479,-2.681064,0.296068,0.783958,-0.015596,0.029283,-0.020974,0.999229,-0.488732,0.166691,0.286012,0.137225,0.135062,-0.203043,-0.02588,-0.099927,-0.318843,0.290872,-0.290535,0.089492,0.057485,0.11219,0.136762,0.42136,0.065206,0.307279,0.434669,1.216883,0.149316,-0.183254,0.287118,-0.007841,-0.322057,0.661764,-0.780366,0.191288,0.087252
480,-2.665808,0.294772,0.780955,-0.018614,0.023575,-0.017536,0.999395,-0.474902,0.157676,0.284762,0.181359,0.137236,-0.159193,0.002564,-0.098407,-0.326402,0.313242,-0.319758,0.097507,0.05144,0.10569,0.135428,0.407543,0.087147,0.310578,0.48261,1.215893,0.160741,-0.193495,0.314061,-0.019045,-0.306588,0.674331,-0.787223,0.187153,0.13253
481,-2.650077,0.293924,0.778308,-0.018589,0.018076,-0.017299,0.999514,-0.45394,0.130817,0.235273,0.202237,0.14001,-0.081376,0.028232,-0.10264,-0.328112,0.335723,-0.343512,0.104901,0.048112,0.095627,0.133288,0.382522,0.103849,0.305551,0.546101,1.232127,0.179244,-0.206419,0.337294,-0.036671,-0.274483,0.680223,-0.83015,0.190821,0.145343
482,-2.633688,0.293768,0.775642,-0.018062,0.012339,-0.021633,0.999527,-0.42799,0.109318,0.196995,0.207349,0.195312,-0.000101,0.049346,-0.108889,-0.3194,0.364099,-0.354966,0.113104,0.043149,0.082969,0.130332,0.360499,0.116663,0.303186,0.612197,1.251351,0.203355,-0.214575,0.356437,-0.051401,-0.248262,0.687196,-0.879754,0.197171,0.137151
483,-2.617422,0.294424,0.776686,-0.015499,0.006607,-0.028689,0.999446,-0.401005,0.107181,0.203965,0.224109,0.212141,0.040379,0.06451,-0.119533,-0.300135,0.396738,-0.339459,0.117513,0.035387,0.06861,0.127342,0.341576,0.119503,0.297841,0.677564,1.276865,0.231337,-0.218672,0.366958,-0.06025,-0.24124,0.696678,-0.917364,0.21144,0.115826
484,-2.600392,0.295657,0.781568,-0.012675,-0.00085,-0.034485,0.999324,-0.37557,0.107888,0.215075,0.266161,0.169623,0.049861,0.074685,-0.1341,-0.275293,0.45028,-0.299198,0.116651,0.027469,0.051236,0.125796,0.321658,0.116918,0.285581,0.737784,1.310894,0.256693,-0.216545,0.371631,-0.057423,-0.259021,0.705034,-0.929431,0.232144,0.087961
485,-2.583806,0.297144,0.784703,-0.008489,-0.008729,-0.039794,0.999134,-0.346986,0.105917,0.228121,0.304716,0.12124,0.043844,0.067061,-0.153772,-0.243271,0.528611,-0.240244,0.118454,0.019321,0.032226,0.124935,0.300213,0.109695,0.260919,0.789601,1.356528,0.282345,-0.219551,0.373241,-0.046667,-0.295518,0.707003,-0.913251,0.24862,0.064638
486,-2.568198,0.298804,0.786851,-0.00392,-0.013542,-0.046884,0.998801,-0.317212,0.102292,0.244248,0.324132,0.083843,0.040068,0.032791,-0.175698,-0.209809,0.632548,-0.169756,0.101066,0.012947,0.014005,0.123159,0.276453,0.096317,0.23121,0.820085,1.398488,0.290474,-0.219742,0.367323,-0.034207,-0.330942,0.702208,-0.886761,0.263296,0.048457
487,-2.553654,0.300654,0.787693,0.000305,-0.01708,-0.056728,0.998243,-0.287416,0.099705,0.265079,0.334927,0.052257,0.03797,-0.024651,-0.200518,-0.176722,0.763426,-0.109154,0.086056,0.007941,-0.001775,0.120209,0.255795,0.080104,0.201371,0.82843,1.429446,0.275184,-0.21518,0.357896,-0.027861,-0.346383,0.691268,-0.863549,0.264946,0.042167
488,-2.539505,0.302429,0.789843,0.004468,-0.020381,-0.065642,0.997625,-0.254966,0.094733,0.286515,0.337023,0.026921,0.036965,-0.088379,-0.22551,-0.149731,0.895852,-0.071131,0.050588,0.003212,-0.016646,0.116962,0.234356,0.060768,0.181846,0.81985,1.437999,0.250639,-0.199465,0.349071,-0.029671,-0.338373,0.678439,-0.849752,0.253606,0.050969
489,-2.525962,0.303667,0.790895,0.008614,-0.023517,-0.071783,0.997106,-0.223368,0.086829,0.302829,0.334268,0.005677,0.035311,-0.143884,-0.23768,-0.129368,0.989131,-0.099469,0.027442,-0.001334,-0.031605,0.113789,0.205554,0.041508,0.169466,0.808872,1.426775,0.222838,-0.17121,0.342789,-0.035459,-0.31646,0.661969,-0.84578,0.229126,0.066702
490,-2.513031,0.30432,0.791844,0.011447,-0.026509,-0.073977,0.996842,-0.193826,0.077859,0.310402,0.328579,-0.011689,0.033051,-0.188,-0.231458,-0.111971,1.036031,-0.149074,0.020656,-0.00514,-0.044811,0.111019,0.165383,0.022713,0.163363,0.804912,1.40123,0.202316,-0.141262,0.339982,-0.037862,-0.294028,0.640899,-0.849768,0.206983,0.081218
491,-2.500789,0.304394,0.792864,0.013201,-0.028752,-0.072797,0.996845,-0.168993,0.069154,0.309902,0.323535,-0.026315,0.030313,-0.216304,-0.223215,-0.112744,1.029185,-0.180241,0.028109,-0.006911,-0.055239,0.108144,0.111786,0.005678,0.147392,0.815949,1.383305,0.190525,-0.117512,0.345435,-0.032367,-0.274841,0.610563,-0.855316,0.189055,0.089033
492,-2.489112,0.30402,0.793949,0.014294,-0.030706,-0.068758,0.997058,-0.14769,0.060868,0.303268,0.320639,-0.039828,0.027285,-0.228075,-0.212089,-0.123435,0.969684,-0.207988,0.043033,-0.007161,-0.063025,0.104841,0.050906,-0.002199,0.119903,0.832421,1.386273,0.191905,-0.110803,0.351574,-0.019142,-0.262431,0.582075,-0.860231,0.180426,0.089028
493,-2.477848,0.303418,0.795208,0.014271,-0.032152,-0.063235,0.997379,-0.126751,0.053878,0.293302,0.314585,-0.050816,0.024141,-0.220177,-0.201266,-0.146661,0.85673,-0.238586,0.054113,-0.006211,-0.068341,0.100514,-0.011669,-0.006894,0.083738,0.846353,1.40438,0.198927,-0.115821,0.354922,-0.00438,-0.250155,0.559646,-0.862772,0.172976,0.091982
494,-2.467028,0.302592,0.796258,0.014896,-0.0333,-0.056825,0.997717,-0.10658,0.045942,0.282155,0.306922,-0.059838,0.020926,-0.196957,-0.185554,-0.168215,0.701001,-0.2597,0.065531,-0.005095,-0.071401,0.095473,-0.071071,-0.012659,0.042695,0.851395,1.427068,0.199881,-0.123213,0.354063,0.004762,-0.237315,0.544997,-0.863026,0.16396,0.097994
495,-2.45667,0.301596,0.796738,0.016436,-0.034311,-0.049678,0.99804,-0.086396,0.036531,0.269988,0.296411,-0.066518,0.017978,-0.162722,-0.160993,-0.176154,0.516348,-0.247055,0.073896,-0.003928,-0.07257,0.089975,-0.122039,-0.017642,0.004623,0.841304,1.443255,0.188766,-0.125433,0.343714,0.006477,-0.226895,0.544627,-0.862449,0.161218,0.107006
496,-2.446831,0.300837,0.7962,0.012437,-0.035312,-0.041287,0.998446,-0.059822,0.034644,0.253402,0.269323,-0.064698,0.015308,-0.123373,-0.127331,-0.16442,0.377337,-0.140423,0.039298,-0.002327,-0.071021,0.0843,-0.163548,-0.021079,-0.028066,0.824291,1.448877,0.175492,-0.118307,0.331019,0.006108,-0.209478,0.55306,-0.869718,0.160354,0.117835
497,-2.438243,0.299288,0.796309,0.013936,-0.038818,-0.036219,0.998492,-0.043006,0.030131,0.242997,0.273407,-0.075941,0.011555,-0.100635,-0.129678,-0.174247,0.37061,-0.148284,0.030402,0.001265,-0.068463,0.08175,-0.192574,-0.029512,-0.051152,0.803847,1.437018,0.162371,-0.104245,0.315981,-0.003813,-0.192561,0.56917,-0.881361,0.165358,0.12525
498,-2.429838,0.298115,0.796999,0.013802,-0.041786,-0.032732,0.998495,-0.021861,0.027542,0.235326,0.265648,-0.080902,0.008618,-0.071093,-0.130938,-0.185249,0.352014,-0.150357,0.037412,0.005505,-0.064677,0.07879,-0.208756,-0.037857,-0.06497,0.77681,1.407495,0.145116,-0.086592,0.294468,-0.013973,-0.175862,0.594693,-0.893181,0.175992,0.128476
499,-2.421775,0.296695,0.79793,0.012943,-0.044327,-0.028725,0.99852,0.000198,0.026793,0.227037,0.25274,-0.083167,0.00523,-0.038137,-0.128853,-0.195892,0.324862,-0.147428,0.044251,0.0096,-0.059538,0.075021,-0.211782,-0.045425,-0.071763,0.745654,1.368634,0.133657,-0.071195,0.269289,-0.023864,-0.160416,0.625691,-0.905608,0.190005,0.128661
500,-2.413959,0.294995,0.798871,0.011788,-0.046589,-0.024154,0.998552,0.025913,0.026507,0.217922,0.230437,-0.08217,0.001306,-0.002357,-0.124351,-0.208842,0.291693,-0.144882,0.047238,0.012811,-0.054252,0.069862,-0.204773,-0.050563,-0.082118,0.713901,1.331733,0.122865,-0.063238,0.243873,-0.034196,-0.14448,0.656981,-0.919286,0.20427,0.131246
501,-2.406405,0.293214,0.799784,0.010868,-0.048406,-0.020389,0.99856,0.056252,0.025486,0.210401,0.197045,-0.076504,-0.002753,0.035081,-0.118217,-0.220975,0.251782,-0.139964,0.048709,0.014707,-0.049017,0.063467,-0.187017,-0.057376,-0.084361,0.681962,1.282725,0.117374,-0.057195,0.220387,-0.043674,-0.131698,0.683241,-0.929619,0.216202,0.132677
502,-2.399265,0.291472,0.800493,0.010412,-0.049351,-0.017093,0.998581,0.085989,0.023755,0.203973,0.160393,-0.068097,-0.006626,0.070736,-0.111876,-0.231607,0.20997,-0.134193,0.049875,0.015434,-0.043781,0.056531,-0.163575,-0.056326,-0.095405,0.655194,1.248778,0.113532,-0.052494,0.199344,-0.050898,-0.123129,0.702512,-0.937042,0.223086,0.129308
